Log Values
Reading , Values
17/09/2018 04:59:01,17.487°C
17/09/2018 05:19:01,17.487°C
17/09/2018 05:39:01,17.55°C
17/09/2018 05:59:01,17.675°C
17/09/2018 06:19:01,17.737°C
17/09/2018 06:39:01,17.8°C
17/09/2018 06:59:01,18.238°C
17/09/2018 07:19:01,18.927°C
17/09/2018 07:39:01,19.866°C
17/09/2018 07:59:01,20.929°C
17/09/2018 08:19:01,21.743°C
17/09/2018 08:39:01,22.556°C
17/09/2018 08:59:01,23.244°C
17/09/2018 09:19:01,23.619°C
17/09/2018 09:39:01,23.869°C
17/09/2018 09:59:01,24.244°C
17/09/2018 10:19:01,24.744°C
17/09/2018 10:39:01,25.244°C
17/09/2018 10:59:01,25.682°C
17/09/2018 11:19:01,25.932°C
17/09/2018 11:39:01,26.307°C
17/09/2018 11:59:01,26.369°C
17/09/2018 12:19:01,26.432°C
17/09/2018 12:39:01,26.557°C
17/09/2018 12:59:01,28.306°C
17/09/2018 13:19:01,26.744°C
17/09/2018 13:39:01,26.432°C
17/09/2018 13:59:01,26.494°C
17/09/2018 14:19:01,26.432°C
17/09/2018 14:39:01,26.182°C
17/09/2018 14:59:01,25.869°C
17/09/2018 15:19:01,25.494°C
17/09/2018 15:39:01,25.369°C
17/09/2018 15:59:01,25.119°C
17/09/2018 16:19:01,24.807°C
17/09/2018 16:39:01,24.557°C
17/09/2018 16:59:01,24.306°C
17/09/2018 17:19:01,23.869°C
17/09/2018 17:39:01,23.306°C
17/09/2018 17:59:01,23.181°C
17/09/2018 18:19:01,23.056°C
17/09/2018 18:39:01,22.556°C
17/09/2018 18:59:01,22.368°C
17/09/2018 19:19:01,22.18°C
17/09/2018 19:39:01,22.18°C
17/09/2018 19:59:01,22.243°C
17/09/2018 20:19:01,22.368°C
17/09/2018 20:39:01,22.493°C
17/09/2018 20:59:01,22.431°C
17/09/2018 21:19:01,22.118°C
17/09/2018 21:39:01,22.118°C
17/09/2018 21:59:01,22.18°C
17/09/2018 22:19:01,22.055°C
17/09/2018 22:39:01,21.993°C
17/09/2018 22:59:01,22.118°C
17/09/2018 23:19:01,22.18°C
17/09/2018 23:39:01,22.055°C
17/09/2018 23:59:01,21.93°C
18/09/2018 00:19:01,21.868°C
18/09/2018 00:39:01,21.868°C
18/09/2018 00:59:01,21.868°C
18/09/2018 01:19:01,21.868°C
18/09/2018 01:39:01,21.93°C
18/09/2018 01:59:01,21.805°C
18/09/2018 02:19:01,21.868°C
18/09/2018 02:39:01,21.868°C
18/09/2018 02:59:01,21.93°C
18/09/2018 03:19:01,22.055°C
18/09/2018 03:39:01,22.055°C
18/09/2018 03:59:01,21.93°C
18/09/2018 04:19:01,21.805°C
18/09/2018 04:39:01,21.68°C
18/09/2018 04:59:01,21.492°C
18/09/2018 05:19:01,21.492°C
18/09/2018 05:39:01,21.555°C
18/09/2018 05:59:01,21.555°C
18/09/2018 06:19:01,21.555°C
18/09/2018 06:39:01,21.492°C
18/09/2018 06:59:01,21.68°C
18/09/2018 07:19:01,21.993°C
18/09/2018 07:39:01,22.243°C
18/09/2018 07:59:01,22.806°C
18/09/2018 08:19:01,23.181°C
18/09/2018 08:39:01,23.681°C
18/09/2018 08:59:01,24.244°C
18/09/2018 09:19:01,24.619°C
18/09/2018 09:39:01,24.807°C
18/09/2018 09:59:01,24.869°C
18/09/2018 10:19:01,25.119°C
18/09/2018 10:39:01,25.369°C
18/09/2018 10:59:01,25.807°C
18/09/2018 11:19:01,25.932°C
18/09/2018 11:39:01,25.932°C
18/09/2018 11:59:01,25.994°C
18/09/2018 12:19:01,26.182°C
18/09/2018 12:39:01,25.869°C
18/09/2018 12:59:01,26.931°C
18/09/2018 13:19:01,25.932°C
18/09/2018 13:39:01,25.619°C
18/09/2018 13:59:01,25.494°C
18/09/2018 14:19:01,25.432°C
18/09/2018 14:39:01,24.932°C
18/09/2018 14:59:01,24.557°C
18/09/2018 15:19:01,24.557°C
18/09/2018 15:39:01,24.557°C
18/09/2018 15:59:01,24.119°C
18/09/2018 16:19:01,24.056°C
18/09/2018 16:39:01,23.869°C
18/09/2018 16:59:01,23.681°C
18/09/2018 17:19:01,23.556°C
18/09/2018 17:39:01,23.431°C
18/09/2018 17:59:01,23.306°C
18/09/2018 18:19:01,23.118°C
18/09/2018 18:39:01,22.868°C
18/09/2018 18:59:01,22.743°C
18/09/2018 19:19:01,22.806°C
18/09/2018 19:39:01,22.618°C
18/09/2018 19:59:01,22.368°C
18/09/2018 20:19:01,22.368°C
18/09/2018 20:39:01,22.243°C
18/09/2018 20:59:01,22.305°C
18/09/2018 21:19:01,22.305°C
18/09/2018 21:39:01,22.243°C
18/09/2018 21:59:01,22.118°C
18/09/2018 22:19:01,22.055°C
18/09/2018 22:39:01,22.243°C
18/09/2018 22:59:01,22.18°C
18/09/2018 23:19:01,22.18°C
18/09/2018 23:39:01,21.993°C
18/09/2018 23:59:01,21.868°C
19/09/2018 00:19:01,21.68°C
19/09/2018 00:39:01,21.367°C
19/09/2018 00:59:01,21.305°C
19/09/2018 01:19:01,21.555°C
19/09/2018 01:39:01,21.68°C
19/09/2018 01:59:01,21.555°C
19/09/2018 02:19:01,21.43°C
19/09/2018 02:39:01,21.617°C
19/09/2018 02:59:01,21.492°C
19/09/2018 03:19:01,21.555°C
19/09/2018 03:39:01,21.492°C
19/09/2018 03:59:01,21.242°C
19/09/2018 04:19:01,20.867°C
19/09/2018 04:39:01,20.742°C
19/09/2018 04:59:01,20.929°C
19/09/2018 05:19:01,20.929°C
19/09/2018 05:39:01,20.679°C
19/09/2018 05:59:01,20.554°C
19/09/2018 06:19:01,20.366°C
19/09/2018 06:39:01,20.366°C
19/09/2018 06:59:01,20.616°C
19/09/2018 07:19:01,21.054°C
19/09/2018 07:39:01,21.617°C
19/09/2018 07:59:01,22.18°C
19/09/2018 08:19:01,22.368°C
19/09/2018 08:39:01,23.181°C
19/09/2018 08:59:01,23.431°C
19/09/2018 09:19:01,23.619°C
19/09/2018 09:39:01,23.806°C
19/09/2018 09:59:01,24.056°C
19/09/2018 10:19:01,24.869°C
19/09/2018 10:39:01,24.869°C
19/09/2018 10:59:01,25.432°C
19/09/2018 11:19:01,25.744°C
19/09/2018 11:39:01,26.182°C
19/09/2018 11:59:01,25.869°C
19/09/2018 12:19:01,26.307°C
19/09/2018 12:39:01,26.182°C
19/09/2018 12:59:01,25.994°C
19/09/2018 13:19:01,25.744°C
19/09/2018 13:39:01,25.494°C
19/09/2018 13:59:01,25.244°C
19/09/2018 14:19:01,25.119°C
19/09/2018 14:39:01,24.869°C
19/09/2018 14:59:01,24.744°C
19/09/2018 15:19:01,24.744°C
19/09/2018 15:39:01,24.369°C
19/09/2018 15:59:01,24.306°C
19/09/2018 16:19:01,23.994°C
19/09/2018 16:39:01,23.869°C
19/09/2018 16:59:01,23.681°C
19/09/2018 17:19:01,23.556°C
19/09/2018 17:39:01,23.369°C
19/09/2018 17:59:01,23.244°C
19/09/2018 18:19:01,23.118°C
19/09/2018 18:39:01,22.931°C
19/09/2018 18:59:01,22.931°C
19/09/2018 19:19:01,22.868°C
19/09/2018 19:39:01,22.868°C
19/09/2018 19:59:01,22.806°C
19/09/2018 20:19:01,22.806°C
19/09/2018 20:39:01,22.806°C
19/09/2018 20:59:01,22.806°C
19/09/2018 21:19:01,22.743°C
19/09/2018 21:39:01,22.743°C
19/09/2018 21:59:01,22.868°C
19/09/2018 22:19:01,22.931°C
19/09/2018 22:39:01,22.993°C
19/09/2018 22:59:01,22.993°C
19/09/2018 23:19:01,22.931°C
19/09/2018 23:39:01,22.743°C
19/09/2018 23:59:01,22.681°C
20/09/2018 00:19:01,22.431°C
20/09/2018 00:39:01,22.305°C
20/09/2018 00:59:01,22.368°C
20/09/2018 01:19:01,22.243°C
20/09/2018 01:39:01,22.18°C
20/09/2018 01:59:01,22.18°C
20/09/2018 02:19:01,21.993°C
20/09/2018 02:39:01,21.743°C
20/09/2018 02:59:01,21.743°C
20/09/2018 03:19:01,21.743°C
20/09/2018 03:39:01,21.868°C
20/09/2018 03:59:01,21.805°C
20/09/2018 04:19:01,21.617°C
20/09/2018 04:39:01,21.43°C
20/09/2018 04:59:01,21.367°C
20/09/2018 05:19:01,21.305°C
20/09/2018 05:39:01,21.305°C
20/09/2018 05:59:01,21.242°C
20/09/2018 06:19:01,21.305°C
20/09/2018 06:39:01,21.367°C
20/09/2018 06:59:01,21.492°C
20/09/2018 07:19:01,21.743°C
20/09/2018 07:39:01,22.055°C
20/09/2018 07:59:01,22.18°C
20/09/2018 08:19:01,22.681°C
20/09/2018 08:39:01,22.993°C
20/09/2018 08:59:01,23.181°C
20/09/2018 09:19:01,23.369°C
20/09/2018 09:39:01,23.681°C
20/09/2018 09:59:01,23.806°C
20/09/2018 10:19:01,24.056°C
20/09/2018 10:39:01,24.744°C
20/09/2018 10:59:01,25.307°C
20/09/2018 11:19:01,25.619°C
20/09/2018 11:39:01,26.182°C
20/09/2018 11:59:01,26.057°C
20/09/2018 12:19:01,25.932°C
20/09/2018 12:39:01,26.119°C
20/09/2018 12:59:01,26.057°C
20/09/2018 13:19:01,25.494°C
20/09/2018 13:39:01,25.244°C
20/09/2018 13:59:01,25.119°C
20/09/2018 14:19:01,25.057°C
20/09/2018 14:39:01,25.307°C
20/09/2018 14:59:01,25.182°C
20/09/2018 15:19:01,25.182°C
20/09/2018 15:39:01,24.932°C
20/09/2018 15:59:01,24.744°C
20/09/2018 16:19:01,24.494°C
20/09/2018 16:39:01,24.369°C
20/09/2018 16:59:01,24.181°C
20/09/2018 17:19:01,23.744°C
20/09/2018 17:39:01,23.431°C
20/09/2018 17:59:01,23.244°C
20/09/2018 18:19:01,23.056°C
20/09/2018 18:39:01,22.556°C
20/09/2018 18:59:01,21.805°C
20/09/2018 19:19:01,21.43°C
20/09/2018 19:39:01,21.555°C
20/09/2018 19:59:01,21.43°C
20/09/2018 20:19:01,21.054°C
20/09/2018 20:39:01,20.804°C
20/09/2018 20:59:01,20.742°C
20/09/2018 21:19:01,20.867°C
20/09/2018 21:39:01,20.929°C
20/09/2018 21:59:01,20.992°C
20/09/2018 22:19:01,21.117°C
20/09/2018 22:39:01,21.18°C
20/09/2018 22:59:01,21.492°C
20/09/2018 23:19:01,21.43°C
20/09/2018 23:39:01,21.117°C
20/09/2018 23:59:01,20.867°C
21/09/2018 00:19:01,20.867°C
21/09/2018 00:39:01,20.992°C
21/09/2018 00:59:01,21.117°C
21/09/2018 01:19:01,20.804°C
21/09/2018 01:39:01,20.616°C
21/09/2018 01:59:01,20.366°C
21/09/2018 02:19:01,20.241°C
21/09/2018 02:39:01,20.116°C
21/09/2018 02:59:01,20.178°C
21/09/2018 03:19:01,20.241°C
21/09/2018 03:39:01,20.304°C
21/09/2018 03:59:01,21.18°C
21/09/2018 04:19:01,21.242°C
21/09/2018 04:39:01,21.43°C
21/09/2018 04:59:01,21.68°C
21/09/2018 05:19:01,22.305°C
21/09/2018 05:39:01,22.431°C
21/09/2018 05:59:01,22.431°C
21/09/2018 06:19:01,22.681°C
21/09/2018 06:39:01,22.681°C
21/09/2018 06:59:01,22.618°C
21/09/2018 07:19:01,22.806°C
21/09/2018 07:39:01,22.931°C
21/09/2018 07:59:01,23.306°C
21/09/2018 08:19:01,23.431°C
21/09/2018 08:39:01,23.494°C
21/09/2018 08:59:01,23.681°C
21/09/2018 09:19:01,23.806°C
21/09/2018 09:39:01,24.056°C
21/09/2018 09:59:01,24.494°C
21/09/2018 10:19:01,24.619°C
21/09/2018 10:39:01,24.869°C
21/09/2018 10:59:01,25.557°C
21/09/2018 11:19:01,25.369°C
21/09/2018 11:39:01,25.557°C
21/09/2018 11:59:01,25.557°C
21/09/2018 12:19:01,25.619°C
21/09/2018 12:39:01,25.369°C
21/09/2018 12:59:01,25.619°C
21/09/2018 13:19:01,25.807°C
21/09/2018 13:39:01,25.369°C
21/09/2018 13:59:01,24.932°C
21/09/2018 14:19:01,24.807°C
21/09/2018 14:39:01,24.619°C
21/09/2018 14:59:01,24.807°C
21/09/2018 15:19:01,24.932°C
21/09/2018 15:39:01,24.932°C
21/09/2018 15:59:01,24.744°C
21/09/2018 16:19:01,24.557°C
21/09/2018 16:39:01,24.432°C
21/09/2018 16:59:01,24.244°C
21/09/2018 17:19:01,24.181°C
21/09/2018 17:39:01,24.119°C
21/09/2018 17:59:01,23.994°C
21/09/2018 18:19:01,23.244°C
21/09/2018 18:39:01,22.243°C
21/09/2018 18:59:01,22.055°C
21/09/2018 19:19:01,21.868°C
21/09/2018 19:39:01,21.93°C
21/09/2018 19:59:01,21.868°C
21/09/2018 20:19:01,21.805°C
21/09/2018 20:39:01,21.868°C
21/09/2018 20:59:01,21.93°C
21/09/2018 21:19:01,22.055°C
21/09/2018 21:39:01,22.118°C
21/09/2018 21:59:01,22.18°C
21/09/2018 22:19:01,22.305°C
21/09/2018 22:39:01,22.368°C
21/09/2018 22:59:01,22.368°C
21/09/2018 23:19:01,22.368°C
21/09/2018 23:39:01,21.743°C
21/09/2018 23:59:01,21.743°C
22/09/2018 00:19:01,21.805°C
22/09/2018 00:39:01,21.743°C
22/09/2018 00:59:01,21.868°C
22/09/2018 01:19:01,21.868°C
22/09/2018 01:39:01,21.743°C
22/09/2018 01:59:01,21.743°C
22/09/2018 02:19:01,21.68°C
22/09/2018 02:39:01,21.743°C
22/09/2018 02:59:01,21.68°C
22/09/2018 03:19:01,21.68°C
22/09/2018 03:39:01,21.743°C
22/09/2018 03:59:01,21.743°C
22/09/2018 04:19:01,21.805°C
22/09/2018 04:39:01,21.743°C
22/09/2018 04:59:01,21.805°C
22/09/2018 05:19:01,21.93°C
22/09/2018 05:39:01,21.993°C
22/09/2018 05:59:01,22.055°C
22/09/2018 06:19:01,21.993°C
22/09/2018 06:39:01,22.055°C
22/09/2018 06:59:01,22.18°C
22/09/2018 07:19:01,22.305°C
22/09/2018 07:39:01,22.556°C
22/09/2018 07:59:01,22.806°C
22/09/2018 08:19:01,22.868°C
22/09/2018 08:39:01,23.118°C
22/09/2018 08:59:01,23.431°C
22/09/2018 09:19:01,23.806°C
22/09/2018 09:39:01,24.056°C
22/09/2018 09:59:01,23.431°C
22/09/2018 10:19:01,22.118°C
22/09/2018 10:39:01,21.617°C
22/09/2018 10:59:01,22.118°C
22/09/2018 11:19:01,22.18°C
22/09/2018 11:39:01,21.93°C
22/09/2018 11:59:01,21.868°C
22/09/2018 12:19:01,22.055°C
22/09/2018 12:39:01,21.868°C
22/09/2018 12:59:01,21.617°C
22/09/2018 13:19:01,21.555°C
22/09/2018 13:39:01,21.617°C
22/09/2018 13:59:01,21.555°C
22/09/2018 14:19:01,21.68°C
22/09/2018 14:39:01,21.743°C
22/09/2018 14:59:01,21.492°C
22/09/2018 15:19:01,21.492°C
22/09/2018 15:39:01,21.555°C
22/09/2018 15:59:01,21.68°C
22/09/2018 16:19:01,21.93°C
22/09/2018 16:39:01,21.993°C
22/09/2018 16:59:01,22.055°C
22/09/2018 17:19:01,21.993°C
22/09/2018 17:39:01,22.118°C
22/09/2018 17:59:01,22.18°C
22/09/2018 18:19:01,22.18°C
22/09/2018 18:39:01,22.18°C
22/09/2018 18:59:01,22.18°C
22/09/2018 19:19:01,22.055°C
22/09/2018 19:39:01,22.118°C
22/09/2018 19:59:01,21.93°C
22/09/2018 20:19:01,21.993°C
22/09/2018 20:39:01,22.18°C
22/09/2018 20:59:01,22.18°C
22/09/2018 21:19:01,22.18°C
22/09/2018 21:39:01,22.118°C
22/09/2018 21:59:01,21.993°C
22/09/2018 22:19:01,21.993°C
22/09/2018 22:39:01,21.93°C
22/09/2018 22:59:01,22.055°C
22/09/2018 23:19:01,22.055°C
22/09/2018 23:39:01,22.118°C
22/09/2018 23:59:01,21.993°C
23/09/2018 00:19:01,21.993°C
23/09/2018 00:39:01,22.055°C
23/09/2018 00:59:01,21.93°C
23/09/2018 01:19:01,21.68°C
23/09/2018 01:39:01,21.492°C
23/09/2018 01:59:01,21.492°C
23/09/2018 02:19:01,21.367°C
23/09/2018 02:39:01,21.492°C
23/09/2018 02:59:01,20.366°C
23/09/2018 03:19:01,19.74°C
23/09/2018 03:39:01,19.678°C
23/09/2018 03:59:01,20.053°C
23/09/2018 04:19:01,20.304°C
23/09/2018 04:39:01,20.241°C
23/09/2018 04:59:01,20.429°C
23/09/2018 05:19:01,20.366°C
23/09/2018 05:39:01,20.178°C
23/09/2018 05:59:01,20.053°C
23/09/2018 06:19:01,19.678°C
23/09/2018 06:39:01,19.49°C
23/09/2018 06:59:01,19.553°C
23/09/2018 07:19:01,19.866°C
23/09/2018 07:39:01,20.241°C
23/09/2018 07:59:01,20.491°C
23/09/2018 08:19:01,20.804°C
23/09/2018 08:39:01,21.054°C
23/09/2018 08:59:01,21.305°C
23/09/2018 09:19:01,21.555°C
23/09/2018 09:39:01,21.743°C
23/09/2018 09:59:01,21.68°C
23/09/2018 10:19:01,22.243°C
23/09/2018 10:39:01,22.431°C
23/09/2018 10:59:01,22.493°C
23/09/2018 11:19:01,22.493°C
23/09/2018 11:39:01,22.18°C
23/09/2018 11:59:01,21.743°C
23/09/2018 12:19:01,21.993°C
23/09/2018 12:39:01,22.868°C
23/09/2018 12:59:01,23.556°C
23/09/2018 13:19:01,23.619°C
23/09/2018 13:39:01,23.118°C
23/09/2018 13:59:01,22.055°C
23/09/2018 14:19:01,20.992°C
23/09/2018 14:39:01,20.679°C
23/09/2018 14:59:01,20.679°C
23/09/2018 15:19:01,20.554°C
23/09/2018 15:39:01,20.679°C
23/09/2018 15:59:01,20.804°C
23/09/2018 16:19:01,20.992°C
23/09/2018 16:39:01,20.929°C
23/09/2018 16:59:01,21.117°C
23/09/2018 17:19:01,21.054°C
23/09/2018 17:39:01,21.054°C
23/09/2018 17:59:01,20.616°C
23/09/2018 18:19:01,20.554°C
23/09/2018 18:39:01,20.742°C
23/09/2018 18:59:01,20.491°C
23/09/2018 19:19:01,20.241°C
23/09/2018 19:39:01,20.116°C
23/09/2018 19:59:01,20.116°C
23/09/2018 20:19:01,20.304°C
23/09/2018 20:39:01,20.304°C
23/09/2018 20:59:01,20.178°C
23/09/2018 21:19:01,20.116°C
23/09/2018 21:39:01,19.991°C
23/09/2018 21:59:01,19.866°C
23/09/2018 22:19:01,19.74°C
23/09/2018 22:39:01,20.053°C
23/09/2018 22:59:01,20.116°C
23/09/2018 23:19:01,20.116°C
23/09/2018 23:39:01,20.053°C
23/09/2018 23:59:01,19.991°C
24/09/2018 00:19:01,19.991°C
24/09/2018 00:39:01,19.928°C
24/09/2018 00:59:01,19.678°C
24/09/2018 01:19:01,19.74°C
24/09/2018 01:39:01,19.553°C
24/09/2018 01:59:01,19.615°C
24/09/2018 02:19:01,19.553°C
24/09/2018 02:39:01,19.615°C
24/09/2018 02:59:01,19.803°C
24/09/2018 03:19:01,19.866°C
24/09/2018 03:39:01,19.928°C
24/09/2018 03:59:01,19.803°C
24/09/2018 04:19:01,19.553°C
24/09/2018 04:39:01,19.74°C
24/09/2018 04:59:01,19.866°C
24/09/2018 05:19:01,19.928°C
24/09/2018 05:39:01,19.678°C
24/09/2018 05:59:01,19.615°C
24/09/2018 06:19:01,19.49°C
24/09/2018 06:39:01,19.365°C
24/09/2018 06:59:01,19.553°C
24/09/2018 07:19:01,19.803°C
24/09/2018 07:39:01,20.053°C
24/09/2018 07:59:01,20.053°C
24/09/2018 08:19:01,19.991°C
24/09/2018 08:39:01,19.928°C
24/09/2018 08:59:01,20.178°C
24/09/2018 09:19:01,20.178°C
24/09/2018 09:39:01,20.429°C
24/09/2018 09:59:01,20.804°C
24/09/2018 10:19:01,21.555°C
24/09/2018 10:39:01,21.743°C
24/09/2018 10:59:01,21.117°C
24/09/2018 11:19:01,20.429°C
24/09/2018 11:39:01,20.679°C
24/09/2018 11:59:01,21.117°C
24/09/2018 12:19:01,21.805°C
24/09/2018 12:39:01,21.68°C
24/09/2018 12:59:01,21.868°C
24/09/2018 13:19:01,22.243°C
24/09/2018 13:39:01,22.556°C
24/09/2018 13:59:01,22.743°C
24/09/2018 14:19:01,22.743°C
24/09/2018 14:39:01,22.618°C
24/09/2018 14:59:01,22.556°C
24/09/2018 15:19:01,22.368°C
24/09/2018 15:39:01,22.18°C
24/09/2018 15:59:01,21.868°C
24/09/2018 16:19:01,21.805°C
24/09/2018 16:39:01,21.68°C
24/09/2018 16:59:01,21.68°C
24/09/2018 17:19:01,21.805°C
24/09/2018 17:39:01,21.805°C
24/09/2018 17:59:01,21.743°C
24/09/2018 18:19:01,21.743°C
24/09/2018 18:39:01,21.617°C
24/09/2018 18:59:01,21.68°C
24/09/2018 19:19:01,21.68°C
24/09/2018 19:39:01,21.492°C
24/09/2018 19:59:01,21.367°C
24/09/2018 20:19:01,21.492°C
24/09/2018 20:39:01,21.617°C
24/09/2018 20:59:01,21.743°C
24/09/2018 21:19:01,21.743°C
24/09/2018 21:39:01,21.805°C
24/09/2018 21:59:01,21.868°C
24/09/2018 22:19:01,21.805°C
24/09/2018 22:39:01,21.93°C
24/09/2018 22:59:01,21.805°C
24/09/2018 23:19:01,21.805°C
24/09/2018 23:39:01,21.743°C
24/09/2018 23:59:01,21.68°C
25/09/2018 00:19:01,21.805°C
25/09/2018 00:39:01,21.617°C
25/09/2018 00:59:01,21.054°C
25/09/2018 01:19:01,21.054°C
25/09/2018 01:39:01,21.242°C
25/09/2018 01:59:01,21.492°C
25/09/2018 02:19:01,21.492°C
25/09/2018 02:39:01,21.367°C
25/09/2018 02:59:01,21.492°C
25/09/2018 03:19:01,21.43°C
25/09/2018 03:39:01,21.18°C
25/09/2018 03:59:01,21.117°C
25/09/2018 04:19:01,21.18°C
25/09/2018 04:39:01,21.242°C
25/09/2018 04:59:01,21.117°C
25/09/2018 05:19:01,20.992°C
25/09/2018 05:39:01,20.992°C
25/09/2018 05:59:01,21.117°C
25/09/2018 06:19:01,21.117°C
25/09/2018 06:39:01,20.992°C
25/09/2018 06:59:01,20.241°C
25/09/2018 07:19:01,20.053°C
25/09/2018 07:39:01,20.116°C
25/09/2018 07:59:01,20.429°C
25/09/2018 08:19:01,20.616°C
25/09/2018 08:39:01,20.867°C
25/09/2018 08:59:01,20.992°C
25/09/2018 09:19:01,21.117°C
25/09/2018 09:39:01,20.742°C
25/09/2018 09:59:01,20.491°C
25/09/2018 10:19:01,20.679°C
25/09/2018 10:39:01,20.804°C
25/09/2018 10:59:01,20.804°C
25/09/2018 11:19:01,20.679°C
25/09/2018 11:39:01,20.804°C
25/09/2018 11:59:01,20.742°C
25/09/2018 12:19:01,20.804°C
25/09/2018 12:39:01,21.242°C
25/09/2018 12:59:01,21.492°C
25/09/2018 13:19:01,21.367°C
25/09/2018 13:39:01,21.617°C
25/09/2018 13:59:01,21.555°C
25/09/2018 14:19:01,21.617°C
25/09/2018 14:39:01,21.868°C
25/09/2018 14:59:01,21.93°C
25/09/2018 15:19:01,21.93°C
25/09/2018 15:39:01,21.743°C
25/09/2018 15:59:01,21.805°C
25/09/2018 16:19:01,21.617°C
25/09/2018 16:39:01,21.68°C
25/09/2018 16:59:01,21.617°C
25/09/2018 17:19:01,21.555°C
25/09/2018 17:39:01,21.555°C
25/09/2018 17:59:01,21.617°C
25/09/2018 18:19:01,21.617°C
25/09/2018 18:39:01,21.492°C
25/09/2018 18:59:01,21.43°C
25/09/2018 19:19:01,21.492°C
25/09/2018 19:39:01,21.367°C
25/09/2018 19:59:01,21.367°C
25/09/2018 20:19:01,21.492°C
25/09/2018 20:39:01,21.367°C
25/09/2018 20:59:01,21.242°C
25/09/2018 21:19:01,21.242°C
25/09/2018 21:39:01,21.117°C
25/09/2018 21:59:01,21.117°C
25/09/2018 22:19:01,20.929°C
25/09/2018 22:39:01,20.992°C
25/09/2018 22:59:01,21.242°C
25/09/2018 23:19:01,21.305°C
25/09/2018 23:39:01,21.242°C
25/09/2018 23:59:01,21.18°C
26/09/2018 00:19:01,21.18°C
26/09/2018 00:39:01,21.242°C
26/09/2018 00:59:01,21.305°C
26/09/2018 01:19:01,21.305°C
26/09/2018 01:39:01,21.305°C
26/09/2018 01:59:01,21.492°C
26/09/2018 02:19:01,21.68°C
26/09/2018 02:39:01,21.43°C
26/09/2018 02:59:01,21.18°C
26/09/2018 03:19:01,21.117°C
26/09/2018 03:39:01,20.992°C
26/09/2018 03:59:01,20.867°C
26/09/2018 04:19:01,21.054°C
26/09/2018 04:39:01,21.117°C
26/09/2018 04:59:01,21.117°C
26/09/2018 05:19:01,21.305°C
26/09/2018 05:39:01,21.242°C
26/09/2018 05:59:01,21.18°C
26/09/2018 06:19:01,21.054°C
26/09/2018 06:39:01,21.054°C
26/09/2018 06:59:01,21.305°C
26/09/2018 07:19:01,21.492°C
26/09/2018 07:39:01,21.68°C
26/09/2018 07:59:01,22.055°C
26/09/2018 08:19:01,21.993°C
26/09/2018 08:39:01,22.431°C
26/09/2018 08:59:01,22.556°C
26/09/2018 09:19:01,22.743°C
26/09/2018 09:39:01,22.993°C
26/09/2018 09:59:01,23.306°C
26/09/2018 10:19:01,23.556°C
26/09/2018 10:39:01,23.806°C
26/09/2018 10:59:01,24.306°C
26/09/2018 11:19:01,24.557°C
26/09/2018 11:39:01,24.807°C
26/09/2018 11:59:01,24.619°C
26/09/2018 12:19:01,25.057°C
26/09/2018 12:39:01,24.994°C
26/09/2018 12:59:01,25.182°C
26/09/2018 13:19:01,25.307°C
26/09/2018 13:39:01,25.119°C
26/09/2018 13:59:01,24.682°C
26/09/2018 14:19:01,24.494°C
26/09/2018 14:39:01,24.306°C
26/09/2018 14:59:01,24.181°C
26/09/2018 15:19:01,24.181°C
26/09/2018 15:39:01,23.931°C
26/09/2018 15:59:01,23.744°C
26/09/2018 16:19:01,23.369°C
26/09/2018 16:39:01,22.993°C
26/09/2018 16:59:01,22.743°C
26/09/2018 17:19:01,22.868°C
26/09/2018 17:39:01,22.806°C
26/09/2018 17:59:01,22.618°C
26/09/2018 18:19:01,22.556°C
26/09/2018 18:39:01,22.493°C
26/09/2018 18:59:01,22.431°C
26/09/2018 19:19:01,22.305°C
26/09/2018 19:39:01,22.243°C
26/09/2018 19:59:01,22.055°C
26/09/2018 20:19:01,21.68°C
26/09/2018 20:39:01,21.93°C
26/09/2018 20:59:01,21.805°C
26/09/2018 21:19:01,21.868°C
26/09/2018 21:39:01,21.743°C
26/09/2018 21:59:01,21.43°C
26/09/2018 22:19:01,21.242°C
26/09/2018 22:39:01,21.242°C
26/09/2018 22:59:01,21.555°C
26/09/2018 23:19:01,21.868°C
26/09/2018 23:39:01,21.993°C
26/09/2018 23:59:01,21.868°C
27/09/2018 00:19:01,21.743°C
27/09/2018 00:39:01,21.68°C
27/09/2018 00:59:01,21.555°C
27/09/2018 01:19:01,21.43°C
27/09/2018 01:39:01,21.555°C
27/09/2018 01:59:01,21.43°C
27/09/2018 02:19:01,21.18°C
27/09/2018 02:39:01,21.054°C
27/09/2018 02:59:01,20.929°C
27/09/2018 03:19:01,20.867°C
27/09/2018 03:39:01,20.804°C
27/09/2018 03:59:01,20.867°C
27/09/2018 04:19:01,20.992°C
27/09/2018 04:39:01,20.867°C
27/09/2018 04:59:01,20.992°C
27/09/2018 05:19:01,21.054°C
27/09/2018 05:39:01,20.053°C
27/09/2018 05:59:01,19.803°C
27/09/2018 06:19:01,19.74°C
27/09/2018 06:39:01,19.615°C
27/09/2018 06:59:01,19.428°C
27/09/2018 07:19:01,19.49°C
27/09/2018 07:39:01,19.615°C
27/09/2018 07:59:01,19.803°C
27/09/2018 08:19:01,20.116°C
27/09/2018 08:39:01,20.366°C
27/09/2018 08:59:01,20.554°C
27/09/2018 09:19:01,20.929°C
27/09/2018 09:39:01,21.492°C
27/09/2018 09:59:01,22.118°C
