Log Values
Reading , Values
10/09/2018 15:39:01,18.184°C
10/09/2018 15:59:01,17.745°C
10/09/2018 16:19:01,17.056°C
10/09/2018 16:39:01,17.182°C
10/09/2018 16:59:01,16.931°C
10/09/2018 17:19:01,16.555°C
10/09/2018 17:39:01,16.367°C
10/09/2018 17:59:01,16.179°C
10/09/2018 18:19:01,15.866°C
10/09/2018 18:39:01,15.615°C
10/09/2018 18:59:01,15.427°C
10/09/2018 19:19:01,15.427°C
10/09/2018 19:39:01,15.427°C
10/09/2018 19:59:01,15.427°C
10/09/2018 20:19:01,15.427°C
10/09/2018 20:39:01,15.365°C
10/09/2018 20:59:01,15.302°C
10/09/2018 21:19:01,15.302°C
10/09/2018 21:39:01,15.239°C
10/09/2018 21:59:01,15.114°C
10/09/2018 22:19:01,14.926°C
10/09/2018 22:39:01,14.8°C
10/09/2018 22:59:01,14.926°C
10/09/2018 23:19:01,14.989°C
10/09/2018 23:39:01,15.051°C
10/09/2018 23:59:01,15.051°C
11/09/2018 00:19:01,15.051°C
11/09/2018 00:39:01,15.051°C
11/09/2018 00:59:01,14.926°C
11/09/2018 01:19:01,14.926°C
11/09/2018 01:39:01,14.863°C
11/09/2018 01:59:01,14.863°C
11/09/2018 02:19:01,14.738°C
11/09/2018 02:39:01,14.612°C
11/09/2018 02:59:01,14.612°C
11/09/2018 03:19:01,14.675°C
11/09/2018 03:39:01,14.738°C
11/09/2018 03:59:01,14.8°C
11/09/2018 04:19:01,14.738°C
11/09/2018 04:39:01,14.738°C
11/09/2018 04:59:01,14.738°C
11/09/2018 05:19:01,14.612°C
11/09/2018 05:39:01,14.487°C
11/09/2018 05:59:01,14.487°C
11/09/2018 06:19:01,14.55°C
11/09/2018 06:39:01,14.55°C
11/09/2018 06:59:01,14.55°C
11/09/2018 07:19:01,14.55°C
11/09/2018 07:39:01,14.612°C
11/09/2018 07:59:01,14.612°C
11/09/2018 08:19:01,14.675°C
11/09/2018 08:39:01,14.675°C
11/09/2018 08:59:01,14.675°C
11/09/2018 09:19:01,14.8°C
11/09/2018 09:39:01,14.989°C
11/09/2018 09:59:01,15.239°C
11/09/2018 10:19:01,15.365°C
11/09/2018 10:39:01,15.365°C
11/09/2018 10:59:01,15.49°C
11/09/2018 11:19:01,15.615°C
11/09/2018 11:39:01,15.929°C
11/09/2018 11:59:01,16.117°C
11/09/2018 12:19:01,16.242°C
11/09/2018 12:39:01,16.179°C
11/09/2018 12:59:01,16.493°C
11/09/2018 13:19:01,16.618°C
11/09/2018 13:39:01,16.806°C
11/09/2018 13:59:01,17.244°C
11/09/2018 14:19:01,17.37°C
11/09/2018 14:39:01,17.557°C
11/09/2018 14:59:01,17.62°C
11/09/2018 15:19:01,17.182°C
11/09/2018 15:39:01,16.994°C
11/09/2018 15:59:01,16.743°C
11/09/2018 16:19:01,16.367°C
11/09/2018 16:39:01,16.493°C
11/09/2018 16:59:01,16.555°C
11/09/2018 17:19:01,16.43°C
11/09/2018 17:39:01,16.117°C
11/09/2018 17:59:01,15.803°C
11/09/2018 18:19:01,15.553°C
11/09/2018 18:39:01,15.427°C
11/09/2018 18:59:01,15.302°C
11/09/2018 19:19:01,15.177°C
11/09/2018 19:39:01,15.051°C
11/09/2018 19:59:01,14.926°C
11/09/2018 20:19:01,14.863°C
11/09/2018 20:39:01,14.863°C
11/09/2018 20:59:01,14.926°C
11/09/2018 21:19:01,14.863°C
11/09/2018 21:39:01,14.863°C
11/09/2018 21:59:01,14.863°C
11/09/2018 22:19:01,14.863°C
11/09/2018 22:39:01,14.8°C
11/09/2018 22:59:01,14.738°C
11/09/2018 23:19:01,14.675°C
11/09/2018 23:39:01,14.612°C
11/09/2018 23:59:01,14.612°C
12/09/2018 00:19:01,14.675°C
12/09/2018 00:39:01,14.675°C
12/09/2018 00:59:01,14.675°C
12/09/2018 01:19:01,14.675°C
12/09/2018 01:39:01,14.675°C
12/09/2018 01:59:01,14.675°C
12/09/2018 02:19:01,14.675°C
12/09/2018 02:39:01,14.612°C
12/09/2018 02:59:01,14.612°C
12/09/2018 03:19:01,14.612°C
12/09/2018 03:39:01,14.55°C
12/09/2018 03:59:01,14.55°C
12/09/2018 04:19:01,14.487°C
12/09/2018 04:39:01,14.487°C
12/09/2018 04:59:01,14.487°C
12/09/2018 05:19:01,14.487°C
12/09/2018 05:39:01,14.487°C
12/09/2018 05:59:01,14.487°C
12/09/2018 06:19:01,14.424°C
12/09/2018 06:39:01,14.487°C
12/09/2018 06:59:01,14.55°C
12/09/2018 07:19:01,14.612°C
12/09/2018 07:39:01,14.738°C
12/09/2018 07:59:01,14.863°C
12/09/2018 08:19:01,14.926°C
12/09/2018 08:39:01,15.051°C
12/09/2018 08:59:01,15.239°C
12/09/2018 09:19:01,15.615°C
12/09/2018 09:39:01,15.741°C
12/09/2018 09:59:01,16.117°C
12/09/2018 10:19:01,16.68°C
12/09/2018 10:39:01,17.056°C
12/09/2018 10:59:01,17.495°C
12/09/2018 11:19:01,17.808°C
12/09/2018 11:39:01,18.059°C
12/09/2018 11:59:01,18.184°C
12/09/2018 12:19:01,17.996°C
12/09/2018 12:39:01,18.121°C
12/09/2018 12:59:01,18.121°C
12/09/2018 13:19:01,18.434°C
12/09/2018 13:39:01,18.747°C
12/09/2018 13:59:01,18.998°C
12/09/2018 14:19:01,19.06°C
12/09/2018 14:39:01,19.123°C
12/09/2018 14:59:01,18.873°C
12/09/2018 15:19:01,18.434°C
12/09/2018 15:39:01,18.685°C
12/09/2018 15:59:01,18.56°C
12/09/2018 16:19:01,18.184°C
12/09/2018 16:39:01,17.933°C
12/09/2018 16:59:01,17.557°C
12/09/2018 17:19:01,17.244°C
12/09/2018 17:39:01,16.68°C
12/09/2018 17:59:01,16.305°C
12/09/2018 18:19:01,15.991°C
12/09/2018 18:39:01,15.866°C
12/09/2018 18:59:01,15.866°C
12/09/2018 19:19:01,15.866°C
12/09/2018 19:39:01,15.803°C
12/09/2018 19:59:01,15.741°C
12/09/2018 20:19:01,15.741°C
12/09/2018 20:39:01,15.741°C
12/09/2018 20:59:01,15.741°C
12/09/2018 21:19:01,15.615°C
12/09/2018 21:39:01,15.615°C
12/09/2018 21:59:01,15.615°C
12/09/2018 22:19:01,15.553°C
12/09/2018 22:39:01,15.49°C
12/09/2018 22:59:01,15.49°C
12/09/2018 23:19:01,15.49°C
12/09/2018 23:39:01,15.615°C
12/09/2018 23:59:01,15.678°C
13/09/2018 00:19:01,15.615°C
13/09/2018 00:39:01,15.615°C
13/09/2018 00:59:01,15.615°C
13/09/2018 01:19:01,15.615°C
13/09/2018 01:39:01,15.553°C
13/09/2018 01:59:01,15.553°C
13/09/2018 02:19:01,15.49°C
13/09/2018 02:39:01,15.427°C
13/09/2018 02:59:01,15.365°C
13/09/2018 03:19:01,15.365°C
13/09/2018 03:39:01,15.365°C
13/09/2018 03:59:01,15.302°C
13/09/2018 04:19:01,15.239°C
13/09/2018 04:39:01,15.239°C
13/09/2018 04:59:01,15.239°C
13/09/2018 05:19:01,15.114°C
13/09/2018 05:39:01,14.989°C
13/09/2018 05:59:01,14.989°C
13/09/2018 06:19:01,14.926°C
13/09/2018 06:39:01,14.989°C
13/09/2018 06:59:01,15.051°C
13/09/2018 07:19:01,15.177°C
13/09/2018 07:39:01,15.302°C
13/09/2018 07:59:01,15.365°C
13/09/2018 08:19:01,15.615°C
13/09/2018 08:39:01,15.741°C
13/09/2018 08:59:01,15.741°C
13/09/2018 09:19:01,15.866°C
13/09/2018 09:39:01,16.117°C
13/09/2018 09:59:01,16.493°C
13/09/2018 10:19:01,16.493°C
13/09/2018 10:39:01,16.555°C
13/09/2018 10:59:01,16.493°C
13/09/2018 11:19:01,16.618°C
13/09/2018 11:39:01,16.868°C
13/09/2018 11:59:01,17.056°C
13/09/2018 12:19:01,17.683°C
13/09/2018 12:39:01,18.246°C
13/09/2018 12:59:01,18.747°C
13/09/2018 13:19:01,18.935°C
13/09/2018 13:39:01,18.685°C
13/09/2018 13:59:01,18.56°C
13/09/2018 14:19:01,18.434°C
13/09/2018 14:39:01,18.81°C
13/09/2018 14:59:01,18.747°C
13/09/2018 15:19:01,18.497°C
13/09/2018 15:39:01,18.56°C
13/09/2018 15:59:01,18.56°C
13/09/2018 16:19:01,18.372°C
13/09/2018 16:39:01,17.933°C
13/09/2018 16:59:01,17.808°C
13/09/2018 17:19:01,17.495°C
13/09/2018 17:39:01,17.244°C
13/09/2018 17:59:01,16.994°C
13/09/2018 18:19:01,16.806°C
13/09/2018 18:39:01,16.68°C
13/09/2018 18:59:01,16.555°C
13/09/2018 19:19:01,16.43°C
13/09/2018 19:39:01,16.367°C
13/09/2018 19:59:01,16.305°C
13/09/2018 20:19:01,16.179°C
13/09/2018 20:39:01,16.117°C
13/09/2018 20:59:01,16.054°C
13/09/2018 21:19:01,15.991°C
13/09/2018 21:39:01,15.866°C
13/09/2018 21:59:01,15.803°C
13/09/2018 22:19:01,15.678°C
13/09/2018 22:39:01,15.615°C
13/09/2018 22:59:01,15.615°C
13/09/2018 23:19:01,15.553°C
13/09/2018 23:39:01,15.49°C
13/09/2018 23:59:01,15.427°C
14/09/2018 00:19:01,15.365°C
14/09/2018 00:39:01,15.239°C
14/09/2018 00:59:01,15.177°C
14/09/2018 01:19:01,14.989°C
14/09/2018 01:39:01,14.989°C
14/09/2018 01:59:01,14.989°C
14/09/2018 02:19:01,14.989°C
14/09/2018 02:39:01,14.8°C
14/09/2018 02:59:01,14.55°C
14/09/2018 03:19:01,14.612°C
14/09/2018 03:39:01,14.989°C
14/09/2018 03:59:01,15.114°C
14/09/2018 04:19:01,15.239°C
14/09/2018 04:39:01,15.302°C
14/09/2018 04:59:01,15.177°C
14/09/2018 05:19:01,15.177°C
14/09/2018 05:39:01,15.114°C
14/09/2018 05:59:01,15.051°C
14/09/2018 06:19:01,14.989°C
14/09/2018 06:39:01,14.926°C
14/09/2018 06:59:01,14.926°C
14/09/2018 07:19:01,14.989°C
14/09/2018 07:39:01,14.926°C
14/09/2018 07:59:01,14.8°C
14/09/2018 08:19:01,14.926°C
14/09/2018 08:39:01,15.051°C
