Log Values
Reading , Values
21/04/2019 17:59:01,25.418°C
21/04/2019 18:19:01,25.293°C
21/04/2019 18:39:01,25.355°C
21/04/2019 18:59:01,25.293°C
21/04/2019 19:19:01,25.293°C
21/04/2019 19:39:01,25.293°C
21/04/2019 19:59:01,25.355°C
21/04/2019 20:19:01,25.293°C
21/04/2019 20:39:01,25.168°C
21/04/2019 20:59:01,25.23°C
21/04/2019 21:19:01,25.168°C
21/04/2019 21:39:01,25.23°C
21/04/2019 21:59:01,25.355°C
21/04/2019 22:19:01,25.293°C
21/04/2019 22:39:01,25.043°C
21/04/2019 22:59:01,25.043°C
21/04/2019 23:19:01,25.043°C
21/04/2019 23:39:01,23.292°C
21/04/2019 23:59:01,23.167°C
22/04/2019 00:19:01,23.042°C
22/04/2019 00:39:01,22.98°C
22/04/2019 00:59:01,22.917°C
22/04/2019 01:19:01,22.917°C
22/04/2019 01:39:01,23.105°C
22/04/2019 01:59:01,23.23°C
22/04/2019 02:19:01,23.355°C
22/04/2019 02:39:01,23.417°C
22/04/2019 02:59:01,23.292°C
22/04/2019 03:19:01,23.23°C
22/04/2019 03:39:01,23.167°C
22/04/2019 03:59:01,23.167°C
22/04/2019 04:19:01,23.23°C
22/04/2019 04:39:01,23.105°C
22/04/2019 04:59:01,23.105°C
22/04/2019 05:19:01,23.105°C
22/04/2019 05:39:01,23.23°C
22/04/2019 05:59:01,23.23°C
22/04/2019 06:19:01,23.23°C
22/04/2019 06:39:01,23.292°C
22/04/2019 06:59:01,23.355°C
22/04/2019 07:19:01,23.355°C
22/04/2019 07:39:01,23.417°C
22/04/2019 07:59:01,23.542°C
22/04/2019 08:19:01,23.668°C
22/04/2019 08:39:01,23.855°C
22/04/2019 08:59:01,24.105°C
22/04/2019 09:19:01,24.355°C
22/04/2019 09:39:01,24.293°C
22/04/2019 09:59:01,24.668°C
22/04/2019 10:19:01,24.855°C
22/04/2019 10:39:01,25.105°C
22/04/2019 10:59:01,25.418°C
22/04/2019 11:19:01,25.605°C
22/04/2019 11:39:01,25.793°C
22/04/2019 11:59:01,25.73°C
22/04/2019 12:19:01,25.918°C
22/04/2019 12:39:01,26.105°C
22/04/2019 12:59:01,26.168°C
22/04/2019 13:19:01,25.918°C
22/04/2019 13:39:01,25.293°C
22/04/2019 13:59:01,25.293°C
22/04/2019 14:19:01,25.48°C
22/04/2019 14:39:01,25.293°C
22/04/2019 14:59:01,25.293°C
22/04/2019 15:19:01,25.355°C
22/04/2019 15:39:01,25.23°C
22/04/2019 15:59:01,25.293°C
22/04/2019 16:19:01,25.105°C
22/04/2019 16:39:01,24.98°C
22/04/2019 16:59:01,24.855°C
22/04/2019 17:19:01,24.73°C
22/04/2019 17:39:01,24.605°C
