Log Values
Reading , Values
31/01/2019 21:59:01,25.23°C
31/01/2019 22:19:01,25.23°C
31/01/2019 22:39:01,25.168°C
31/01/2019 22:59:01,25.105°C
31/01/2019 23:19:01,25.043°C
31/01/2019 23:39:01,24.98°C
31/01/2019 23:59:01,25.043°C
01/02/2019 00:19:01,25.043°C
01/02/2019 00:39:01,24.98°C
01/02/2019 00:59:01,24.918°C
01/02/2019 01:19:01,24.98°C
01/02/2019 01:39:01,24.98°C
01/02/2019 01:59:01,24.98°C
01/02/2019 02:19:01,24.98°C
01/02/2019 02:39:01,24.98°C
01/02/2019 02:59:01,24.918°C
01/02/2019 03:19:01,24.855°C
01/02/2019 03:39:01,24.918°C
01/02/2019 03:59:01,24.855°C
01/02/2019 04:19:01,24.855°C
01/02/2019 04:39:01,24.793°C
01/02/2019 04:59:01,24.73°C
01/02/2019 05:19:01,24.73°C
01/02/2019 05:39:01,24.73°C
01/02/2019 05:59:01,24.73°C
01/02/2019 06:19:01,24.668°C
01/02/2019 06:39:01,24.668°C
01/02/2019 06:59:01,24.668°C
01/02/2019 07:19:01,24.73°C
01/02/2019 07:39:01,24.918°C
01/02/2019 07:59:01,25.105°C
01/02/2019 08:19:01,25.23°C
01/02/2019 08:39:01,25.355°C
01/02/2019 08:59:01,25.48°C
01/02/2019 09:19:01,25.668°C
01/02/2019 09:39:01,25.855°C
01/02/2019 09:59:01,25.918°C
01/02/2019 10:19:01,26.168°C
01/02/2019 10:39:01,26.605°C
01/02/2019 10:59:01,26.98°C
01/02/2019 11:19:01,27.043°C
01/02/2019 11:39:01,27.105°C
01/02/2019 11:59:01,26.855°C
01/02/2019 12:19:01,26.73°C
01/02/2019 12:39:01,26.605°C
01/02/2019 12:59:01,26.48°C
01/02/2019 13:19:01,26.543°C
01/02/2019 13:39:01,26.668°C
01/02/2019 13:59:01,26.98°C
01/02/2019 14:19:01,26.793°C
01/02/2019 14:39:01,26.543°C
01/02/2019 14:59:01,26.668°C
01/02/2019 15:19:01,26.73°C
01/02/2019 15:39:01,26.355°C
01/02/2019 15:59:01,25.293°C
01/02/2019 16:19:01,24.418°C
01/02/2019 16:39:01,24.418°C
01/02/2019 16:59:01,24.543°C
01/02/2019 17:19:01,24.605°C
01/02/2019 17:39:01,24.73°C
01/02/2019 17:59:01,24.48°C
01/02/2019 18:19:01,24.355°C
01/02/2019 18:39:01,24.23°C
01/02/2019 18:59:01,24.23°C
01/02/2019 19:19:01,23.98°C
01/02/2019 19:39:01,23.98°C
01/02/2019 19:59:01,24.105°C
01/02/2019 20:19:01,24.168°C
01/02/2019 20:39:01,24.168°C
01/02/2019 20:59:01,24.105°C
01/02/2019 21:19:01,24.105°C
01/02/2019 21:39:01,24.105°C
01/02/2019 21:59:01,24.105°C
01/02/2019 22:19:01,24.23°C
01/02/2019 22:39:01,24.23°C
01/02/2019 22:59:01,24.168°C
01/02/2019 23:19:01,24.23°C
01/02/2019 23:39:01,24.293°C
01/02/2019 23:59:01,24.355°C
02/02/2019 00:19:01,24.418°C
02/02/2019 00:39:01,24.355°C
02/02/2019 00:59:01,24.418°C
02/02/2019 01:19:01,24.355°C
02/02/2019 01:39:01,24.355°C
02/02/2019 01:59:01,24.418°C
02/02/2019 02:19:01,24.355°C
02/02/2019 02:39:01,24.355°C
02/02/2019 02:59:01,24.293°C
02/02/2019 03:19:01,24.23°C
02/02/2019 03:39:01,24.293°C
02/02/2019 03:59:01,24.293°C
02/02/2019 04:19:01,24.355°C
02/02/2019 04:39:01,24.355°C
02/02/2019 04:59:01,24.48°C
02/02/2019 05:19:01,24.543°C
02/02/2019 05:39:01,24.543°C
02/02/2019 05:59:01,24.605°C
02/02/2019 06:19:01,24.605°C
02/02/2019 06:39:01,24.668°C
02/02/2019 06:59:01,24.73°C
02/02/2019 07:19:01,24.793°C
02/02/2019 07:39:01,24.98°C
02/02/2019 07:59:01,25.168°C
02/02/2019 08:19:01,25.48°C
02/02/2019 08:39:01,25.543°C
02/02/2019 08:59:01,25.543°C
02/02/2019 09:19:01,25.98°C
02/02/2019 09:39:01,26.043°C
02/02/2019 09:59:01,26.23°C
02/02/2019 10:19:01,26.605°C
02/02/2019 10:39:01,26.73°C
02/02/2019 10:59:01,26.668°C
02/02/2019 11:19:01,26.668°C
02/02/2019 11:39:01,26.918°C
02/02/2019 11:59:01,26.793°C
02/02/2019 12:19:01,26.668°C
02/02/2019 12:39:01,26.668°C
02/02/2019 12:59:01,26.543°C
02/02/2019 13:19:01,26.543°C
02/02/2019 13:39:01,25.23°C
02/02/2019 13:59:01,24.605°C
02/02/2019 14:19:01,24.73°C
02/02/2019 14:39:01,25.23°C
02/02/2019 14:59:01,25.043°C
02/02/2019 15:19:01,24.918°C
02/02/2019 15:39:01,24.73°C
02/02/2019 15:59:01,24.73°C
02/02/2019 16:19:01,24.668°C
02/02/2019 16:39:01,24.73°C
02/02/2019 16:59:01,24.668°C
02/02/2019 17:19:01,24.543°C
02/02/2019 17:39:01,24.605°C
02/02/2019 17:59:01,24.605°C
02/02/2019 18:19:01,24.793°C
02/02/2019 18:39:01,24.855°C
02/02/2019 18:59:01,24.855°C
02/02/2019 19:19:01,24.793°C
02/02/2019 19:39:01,24.73°C
02/02/2019 19:59:01,24.73°C
02/02/2019 20:19:01,24.668°C
02/02/2019 20:39:01,24.668°C
02/02/2019 20:59:01,24.73°C
02/02/2019 21:19:01,24.793°C
02/02/2019 21:39:01,24.855°C
02/02/2019 21:59:01,24.855°C
02/02/2019 22:19:01,24.855°C
02/02/2019 22:39:01,24.855°C
02/02/2019 22:59:01,24.855°C
02/02/2019 23:19:01,24.918°C
02/02/2019 23:39:01,24.918°C
02/02/2019 23:59:01,24.98°C
03/02/2019 00:19:01,24.98°C
03/02/2019 00:39:01,24.98°C
03/02/2019 00:59:01,24.98°C
03/02/2019 01:19:01,24.918°C
03/02/2019 01:39:01,24.918°C
03/02/2019 01:59:01,24.918°C
03/02/2019 02:19:01,24.855°C
03/02/2019 02:39:01,24.855°C
03/02/2019 02:59:01,24.918°C
03/02/2019 03:19:01,24.918°C
03/02/2019 03:39:01,24.918°C
03/02/2019 03:59:01,24.98°C
03/02/2019 04:19:01,24.918°C
03/02/2019 04:39:01,24.855°C
03/02/2019 04:59:01,24.918°C
03/02/2019 05:19:01,24.855°C
03/02/2019 05:39:01,24.855°C
03/02/2019 05:59:01,24.793°C
03/02/2019 06:19:01,24.73°C
03/02/2019 06:39:01,24.668°C
03/02/2019 06:59:01,24.73°C
03/02/2019 07:19:01,24.793°C
03/02/2019 07:39:01,24.98°C
03/02/2019 07:59:01,25.23°C
03/02/2019 08:19:01,25.418°C
03/02/2019 08:39:01,25.668°C
03/02/2019 08:59:01,25.918°C
03/02/2019 09:19:01,26.168°C
03/02/2019 09:39:01,26.293°C
03/02/2019 09:59:01,26.105°C
03/02/2019 10:19:01,26.418°C
03/02/2019 10:39:01,26.605°C
03/02/2019 10:59:01,26.793°C
03/02/2019 11:19:01,26.543°C
03/02/2019 11:39:01,26.105°C
03/02/2019 11:59:01,25.98°C
03/02/2019 12:19:01,25.98°C
03/02/2019 12:39:01,26.293°C
03/02/2019 12:59:01,26.668°C
03/02/2019 13:19:01,26.605°C
03/02/2019 13:39:01,26.855°C
03/02/2019 13:59:01,26.918°C
03/02/2019 14:19:01,26.855°C
03/02/2019 14:39:01,25.605°C
03/02/2019 14:59:01,25.98°C
03/02/2019 15:19:01,26.293°C
03/02/2019 15:39:01,26.293°C
03/02/2019 15:59:01,26.105°C
03/02/2019 16:19:01,26.23°C
03/02/2019 16:39:01,26.168°C
03/02/2019 16:59:01,25.73°C
03/02/2019 17:19:01,25.98°C
03/02/2019 17:39:01,25.918°C
03/02/2019 17:59:01,25.73°C
03/02/2019 18:19:01,25.73°C
03/02/2019 18:39:01,25.668°C
03/02/2019 18:59:01,25.605°C
03/02/2019 19:19:01,25.48°C
03/02/2019 19:39:01,25.418°C
03/02/2019 19:59:01,25.355°C
03/02/2019 20:19:01,25.355°C
03/02/2019 20:39:01,25.23°C
03/02/2019 20:59:01,25.23°C
03/02/2019 21:19:01,25.168°C
03/02/2019 21:39:01,25.168°C
03/02/2019 21:59:01,25.23°C
03/02/2019 22:19:01,25.23°C
03/02/2019 22:39:01,25.168°C
03/02/2019 22:59:01,25.105°C
03/02/2019 23:19:01,25.105°C
03/02/2019 23:39:01,25.168°C
03/02/2019 23:59:01,25.168°C
04/02/2019 00:19:01,25.168°C
04/02/2019 00:39:01,25.168°C
04/02/2019 00:59:01,25.168°C
04/02/2019 01:19:01,25.168°C
04/02/2019 01:39:01,25.105°C
04/02/2019 01:59:01,25.168°C
04/02/2019 02:19:01,25.043°C
04/02/2019 02:39:01,25.043°C
04/02/2019 02:59:01,24.98°C
04/02/2019 03:19:01,24.918°C
04/02/2019 03:39:01,24.918°C
04/02/2019 03:59:01,24.98°C
04/02/2019 04:19:01,24.918°C
04/02/2019 04:39:01,24.855°C
04/02/2019 04:59:01,24.918°C
04/02/2019 05:19:01,24.918°C
04/02/2019 05:39:01,24.918°C
04/02/2019 05:59:01,24.918°C
04/02/2019 06:19:01,24.98°C
04/02/2019 06:39:01,24.98°C
04/02/2019 06:59:01,24.98°C
04/02/2019 07:19:01,25.105°C
04/02/2019 07:39:01,25.168°C
04/02/2019 07:59:01,25.293°C
04/02/2019 08:19:01,25.418°C
04/02/2019 08:39:01,25.48°C
04/02/2019 08:59:01,25.543°C
04/02/2019 09:19:01,25.605°C
04/02/2019 09:39:01,25.73°C
04/02/2019 09:59:01,25.98°C
04/02/2019 10:19:01,26.23°C
04/02/2019 10:39:01,26.23°C
04/02/2019 10:59:01,26.355°C
04/02/2019 11:19:01,26.668°C
04/02/2019 11:39:01,26.605°C
04/02/2019 11:59:01,26.793°C
04/02/2019 12:19:01,26.793°C
04/02/2019 12:39:01,27.105°C
04/02/2019 12:59:01,27.668°C
04/02/2019 13:19:01,27.73°C
04/02/2019 13:39:01,27.917°C
04/02/2019 13:59:01,27.73°C
04/02/2019 14:19:01,27.98°C
04/02/2019 14:39:01,27.917°C
04/02/2019 14:59:01,27.73°C
04/02/2019 15:19:01,27.48°C
04/02/2019 15:39:01,27.293°C
04/02/2019 15:59:01,27.355°C
04/02/2019 16:19:01,27.293°C
04/02/2019 16:39:01,27.105°C
04/02/2019 16:59:01,26.918°C
04/02/2019 17:19:01,26.793°C
04/02/2019 17:39:01,25.918°C
04/02/2019 17:59:01,25.668°C
04/02/2019 18:19:01,25.668°C
04/02/2019 18:39:01,25.793°C
04/02/2019 18:59:01,25.23°C
04/02/2019 19:19:01,24.98°C
04/02/2019 19:39:01,24.98°C
04/02/2019 19:59:01,24.98°C
04/02/2019 20:19:01,25.105°C
04/02/2019 20:39:01,25.168°C
04/02/2019 20:59:01,25.23°C
04/02/2019 21:19:01,25.168°C
04/02/2019 21:39:01,25.105°C
04/02/2019 21:59:01,25.168°C
04/02/2019 22:19:01,25.168°C
04/02/2019 22:39:01,25.168°C
04/02/2019 22:59:01,25.105°C
04/02/2019 23:19:01,25.105°C
04/02/2019 23:39:01,25.043°C
04/02/2019 23:59:01,24.98°C
05/02/2019 00:19:01,25.105°C
05/02/2019 00:39:01,25.043°C
05/02/2019 00:59:01,24.918°C
05/02/2019 01:19:01,24.73°C
05/02/2019 01:39:01,24.793°C
05/02/2019 01:59:01,24.855°C
05/02/2019 02:19:01,24.668°C
05/02/2019 02:39:01,24.668°C
05/02/2019 02:59:01,24.668°C
05/02/2019 03:19:01,24.543°C
05/02/2019 03:39:01,24.48°C
05/02/2019 03:59:01,24.48°C
05/02/2019 04:19:01,24.543°C
05/02/2019 04:39:01,24.543°C
05/02/2019 04:59:01,24.48°C
05/02/2019 05:19:01,24.48°C
05/02/2019 05:39:01,24.48°C
05/02/2019 05:59:01,24.418°C
05/02/2019 06:19:01,24.48°C
05/02/2019 06:39:01,24.48°C
05/02/2019 06:59:01,24.605°C
05/02/2019 07:19:01,24.793°C
05/02/2019 07:39:01,24.98°C
05/02/2019 07:59:01,25.168°C
05/02/2019 08:19:01,25.168°C
05/02/2019 08:39:01,25.418°C
05/02/2019 08:59:01,25.605°C
05/02/2019 09:19:01,25.668°C
05/02/2019 09:39:01,25.918°C
05/02/2019 09:59:01,26.23°C
05/02/2019 10:19:01,26.105°C
05/02/2019 10:39:01,26.293°C
05/02/2019 10:59:01,26.855°C
05/02/2019 11:19:01,27.043°C
05/02/2019 11:39:01,27.293°C
05/02/2019 11:59:01,27.48°C
05/02/2019 12:19:01,27.543°C
05/02/2019 12:39:01,27.543°C
05/02/2019 12:59:01,27.668°C
05/02/2019 13:19:01,28.105°C
05/02/2019 13:39:01,27.917°C
05/02/2019 13:59:01,27.917°C
05/02/2019 14:19:01,28.042°C
05/02/2019 14:39:01,27.73°C
05/02/2019 14:59:01,27.793°C
05/02/2019 15:19:01,27.605°C
05/02/2019 15:39:01,27.293°C
05/02/2019 15:59:01,26.73°C
05/02/2019 16:19:01,26.355°C
05/02/2019 16:39:01,26.418°C
05/02/2019 16:59:01,26.168°C
05/02/2019 17:19:01,26.23°C
05/02/2019 17:39:01,26.168°C
05/02/2019 17:59:01,26.168°C
05/02/2019 18:19:01,26.043°C
05/02/2019 18:39:01,26.105°C
05/02/2019 18:59:01,26.105°C
05/02/2019 19:19:01,25.918°C
05/02/2019 19:39:01,25.855°C
05/02/2019 19:59:01,25.793°C
05/02/2019 20:19:01,25.855°C
05/02/2019 20:39:01,25.793°C
05/02/2019 20:59:01,25.418°C
05/02/2019 21:19:01,25.23°C
05/02/2019 21:39:01,25.293°C
05/02/2019 21:59:01,25.23°C
05/02/2019 22:19:01,25.23°C
05/02/2019 22:39:01,25.293°C
05/02/2019 22:59:01,25.23°C
05/02/2019 23:19:01,25.23°C
05/02/2019 23:39:01,25.293°C
05/02/2019 23:59:01,25.418°C
06/02/2019 00:19:01,25.355°C
06/02/2019 00:39:01,25.293°C
06/02/2019 00:59:01,25.168°C
06/02/2019 01:19:01,25.105°C
06/02/2019 01:39:01,25.23°C
06/02/2019 01:59:01,25.168°C
06/02/2019 02:19:01,25.105°C
06/02/2019 02:39:01,25.105°C
06/02/2019 02:59:01,25.043°C
06/02/2019 03:19:01,25.043°C
06/02/2019 03:39:01,25.043°C
06/02/2019 03:59:01,25.043°C
06/02/2019 04:19:01,25.043°C
06/02/2019 04:39:01,25.043°C
06/02/2019 04:59:01,24.855°C
06/02/2019 05:19:01,24.73°C
06/02/2019 05:39:01,24.668°C
06/02/2019 05:59:01,24.668°C
06/02/2019 06:19:01,24.793°C
06/02/2019 06:39:01,24.918°C
06/02/2019 06:59:01,24.918°C
06/02/2019 07:19:01,24.855°C
06/02/2019 07:39:01,24.98°C
06/02/2019 07:59:01,25.23°C
06/02/2019 08:19:01,25.355°C
06/02/2019 08:39:01,25.543°C
06/02/2019 08:59:01,25.793°C
06/02/2019 09:19:01,25.918°C
06/02/2019 09:39:01,25.855°C
06/02/2019 09:59:01,25.855°C
06/02/2019 10:19:01,25.855°C
06/02/2019 10:39:01,26.043°C
06/02/2019 10:59:01,25.98°C
06/02/2019 11:19:01,25.855°C
06/02/2019 11:39:01,25.668°C
06/02/2019 11:59:01,25.855°C
06/02/2019 12:19:01,26.605°C
06/02/2019 12:39:01,26.48°C
06/02/2019 12:59:01,26.543°C
06/02/2019 13:19:01,26.355°C
06/02/2019 13:39:01,26.48°C
06/02/2019 13:59:01,26.355°C
06/02/2019 14:19:01,26.48°C
06/02/2019 14:39:01,27.105°C
06/02/2019 14:59:01,27.543°C
06/02/2019 15:19:01,27.355°C
06/02/2019 15:39:01,27.418°C
06/02/2019 15:59:01,27.355°C
06/02/2019 16:19:01,27.043°C
06/02/2019 16:39:01,26.73°C
06/02/2019 16:59:01,26.543°C
06/02/2019 17:19:01,26.168°C
06/02/2019 17:39:01,26.355°C
06/02/2019 17:59:01,26.293°C
06/02/2019 18:19:01,26.23°C
06/02/2019 18:39:01,26.043°C
06/02/2019 18:59:01,26.168°C
06/02/2019 19:19:01,25.918°C
06/02/2019 19:39:01,25.98°C
06/02/2019 19:59:01,25.918°C
06/02/2019 20:19:01,25.98°C
06/02/2019 20:39:01,26.043°C
06/02/2019 20:59:01,25.918°C
06/02/2019 21:19:01,25.793°C
06/02/2019 21:39:01,25.543°C
06/02/2019 21:59:01,24.98°C
06/02/2019 22:19:01,24.855°C
06/02/2019 22:39:01,24.793°C
06/02/2019 22:59:01,24.793°C
06/02/2019 23:19:01,24.98°C
06/02/2019 23:39:01,24.73°C
06/02/2019 23:59:01,24.668°C
07/02/2019 00:19:01,24.668°C
07/02/2019 00:39:01,24.855°C
07/02/2019 00:59:01,24.855°C
07/02/2019 01:19:01,24.543°C
07/02/2019 01:39:01,24.48°C
07/02/2019 01:59:01,24.668°C
07/02/2019 02:19:01,24.543°C
07/02/2019 02:39:01,24.418°C
07/02/2019 02:59:01,24.73°C
07/02/2019 03:19:01,24.605°C
07/02/2019 03:39:01,24.543°C
07/02/2019 03:59:01,24.418°C
07/02/2019 04:19:01,24.605°C
07/02/2019 04:39:01,24.668°C
07/02/2019 04:59:01,24.793°C
07/02/2019 05:19:01,24.73°C
07/02/2019 05:39:01,24.605°C
07/02/2019 05:59:01,24.543°C
07/02/2019 06:19:01,24.543°C
07/02/2019 06:39:01,24.605°C
07/02/2019 06:59:01,24.73°C
07/02/2019 07:19:01,24.855°C
07/02/2019 07:39:01,24.793°C
07/02/2019 07:59:01,24.855°C
07/02/2019 08:19:01,24.918°C
07/02/2019 08:39:01,24.98°C
07/02/2019 08:59:01,24.918°C
07/02/2019 09:19:01,24.918°C
07/02/2019 09:39:01,25.168°C
07/02/2019 09:59:01,25.418°C
07/02/2019 10:19:01,25.668°C
07/02/2019 10:39:01,25.98°C
07/02/2019 10:59:01,26.23°C
07/02/2019 11:19:01,26.105°C
07/02/2019 11:39:01,26.605°C
07/02/2019 11:59:01,26.668°C
07/02/2019 12:19:01,26.793°C
07/02/2019 12:39:01,26.98°C
07/02/2019 12:59:01,27.23°C
07/02/2019 13:19:01,27.418°C
07/02/2019 13:39:01,26.98°C
07/02/2019 13:59:01,26.605°C
07/02/2019 14:19:01,26.355°C
07/02/2019 14:39:01,26.668°C
07/02/2019 14:59:01,26.543°C
07/02/2019 15:19:01,26.293°C
07/02/2019 15:39:01,26.043°C
07/02/2019 15:59:01,25.73°C
07/02/2019 16:19:01,25.855°C
07/02/2019 16:39:01,25.793°C
07/02/2019 16:59:01,25.918°C
07/02/2019 17:19:01,25.73°C
07/02/2019 17:39:01,25.793°C
07/02/2019 17:59:01,25.793°C
07/02/2019 18:19:01,25.793°C
07/02/2019 18:39:01,25.793°C
07/02/2019 18:59:01,25.543°C
07/02/2019 19:19:01,25.543°C
07/02/2019 19:39:01,25.48°C
07/02/2019 19:59:01,25.418°C
07/02/2019 20:19:01,25.293°C
07/02/2019 20:39:01,25.23°C
07/02/2019 20:59:01,25.168°C
07/02/2019 21:19:01,25.105°C
07/02/2019 21:39:01,25.043°C
07/02/2019 21:59:01,24.918°C
07/02/2019 22:19:01,24.98°C
07/02/2019 22:39:01,25.043°C
07/02/2019 22:59:01,24.98°C
07/02/2019 23:19:01,24.793°C
07/02/2019 23:39:01,24.855°C
07/02/2019 23:59:01,24.793°C
08/02/2019 00:19:01,24.855°C
08/02/2019 00:39:01,24.793°C
08/02/2019 00:59:01,24.793°C
08/02/2019 01:19:01,24.793°C
08/02/2019 01:39:01,24.668°C
08/02/2019 01:59:01,24.73°C
08/02/2019 02:19:01,24.668°C
08/02/2019 02:39:01,24.543°C
08/02/2019 02:59:01,24.605°C
08/02/2019 03:19:01,24.605°C
08/02/2019 03:39:01,24.543°C
08/02/2019 03:59:01,24.605°C
08/02/2019 04:19:01,24.543°C
08/02/2019 04:39:01,24.543°C
08/02/2019 04:59:01,24.543°C
08/02/2019 05:19:01,24.605°C
08/02/2019 05:39:01,24.48°C
08/02/2019 05:59:01,24.48°C
08/02/2019 06:19:01,24.543°C
08/02/2019 06:39:01,24.543°C
08/02/2019 06:59:01,24.605°C
08/02/2019 07:19:01,24.793°C
08/02/2019 07:39:01,24.855°C
08/02/2019 07:59:01,24.98°C
08/02/2019 08:19:01,25.105°C
08/02/2019 08:39:01,25.293°C
08/02/2019 08:59:01,25.73°C
08/02/2019 09:19:01,26.043°C
08/02/2019 09:39:01,26.23°C
08/02/2019 09:59:01,26.043°C
08/02/2019 10:19:01,25.793°C
08/02/2019 10:39:01,25.73°C
08/02/2019 10:59:01,25.855°C
08/02/2019 11:19:01,25.73°C
08/02/2019 11:39:01,25.855°C
08/02/2019 11:59:01,26.043°C
08/02/2019 12:19:01,25.918°C
08/02/2019 12:39:01,25.855°C
08/02/2019 12:59:01,25.355°C
08/02/2019 13:19:01,25.48°C
08/02/2019 13:39:01,25.543°C
08/02/2019 13:59:01,25.48°C
08/02/2019 14:19:01,25.293°C
08/02/2019 14:39:01,25.105°C
08/02/2019 14:59:01,25.105°C
08/02/2019 15:19:01,24.98°C
08/02/2019 15:39:01,24.918°C
08/02/2019 15:59:01,24.98°C
08/02/2019 16:19:01,24.918°C
08/02/2019 16:39:01,24.543°C
08/02/2019 16:59:01,24.668°C
08/02/2019 17:19:01,24.668°C
08/02/2019 17:39:01,24.605°C
08/02/2019 17:59:01,24.668°C
08/02/2019 18:19:01,24.793°C
08/02/2019 18:39:01,24.793°C
08/02/2019 18:59:01,24.793°C
