Log Values
Reading , Values
16/03/2019 22:59:01,20.202°C
16/03/2019 23:19:01,20.202°C
16/03/2019 23:39:01,20.265°C
16/03/2019 23:59:01,20.327°C
17/03/2019 00:19:01,20.327°C
17/03/2019 00:39:01,20.39°C
17/03/2019 00:59:01,20.327°C
17/03/2019 01:19:01,20.327°C
17/03/2019 01:39:01,20.202°C
17/03/2019 01:59:01,20.139°C
17/03/2019 02:19:01,20.139°C
17/03/2019 02:39:01,19.701°C
17/03/2019 02:59:01,19.764°C
17/03/2019 03:19:01,20.014°C
17/03/2019 03:39:01,19.952°C
17/03/2019 03:59:01,19.826°C
17/03/2019 04:19:01,19.701°C
17/03/2019 04:39:01,19.639°C
17/03/2019 04:59:01,19.701°C
17/03/2019 05:19:01,19.701°C
17/03/2019 05:39:01,19.701°C
17/03/2019 05:59:01,19.826°C
17/03/2019 06:19:01,19.826°C
17/03/2019 06:39:01,19.826°C
17/03/2019 06:59:01,19.889°C
17/03/2019 07:19:01,19.952°C
17/03/2019 07:39:01,20.077°C
17/03/2019 07:59:01,20.139°C
17/03/2019 08:19:01,20.202°C
17/03/2019 08:39:01,20.265°C
17/03/2019 08:59:01,20.327°C
17/03/2019 09:19:01,20.578°C
17/03/2019 09:39:01,20.828°C
17/03/2019 09:59:01,21.079°C
17/03/2019 10:19:01,21.079°C
17/03/2019 10:39:01,21.266°C
17/03/2019 10:59:01,21.517°C
17/03/2019 11:19:01,21.579°C
17/03/2019 11:39:01,21.767°C
17/03/2019 11:59:01,21.892°C
17/03/2019 12:19:01,21.892°C
17/03/2019 12:39:01,21.892°C
17/03/2019 12:59:01,22.142°C
17/03/2019 13:19:01,21.892°C
17/03/2019 13:39:01,21.83°C
17/03/2019 13:59:01,22.017°C
17/03/2019 14:19:01,22.205°C
17/03/2019 14:39:01,22.33°C
17/03/2019 14:59:01,21.955°C
17/03/2019 15:19:01,21.642°C
17/03/2019 15:39:01,21.704°C
17/03/2019 15:59:01,21.767°C
17/03/2019 16:19:01,21.642°C
17/03/2019 16:39:01,21.391°C
17/03/2019 16:59:01,21.204°C
17/03/2019 17:19:01,21.016°C
17/03/2019 17:39:01,20.891°C
17/03/2019 17:59:01,20.891°C
17/03/2019 18:19:01,20.766°C
17/03/2019 18:39:01,20.64°C
17/03/2019 18:59:01,20.515°C
17/03/2019 19:19:01,20.453°C
17/03/2019 19:39:01,20.39°C
17/03/2019 19:59:01,20.327°C
17/03/2019 20:19:01,20.39°C
17/03/2019 20:39:01,20.202°C
17/03/2019 20:59:01,20.202°C
17/03/2019 21:19:01,20.077°C
17/03/2019 21:39:01,20.077°C
17/03/2019 21:59:01,20.077°C
17/03/2019 22:19:01,20.014°C
17/03/2019 22:39:01,19.889°C
17/03/2019 22:59:01,19.889°C
17/03/2019 23:19:01,19.952°C
17/03/2019 23:39:01,19.889°C
17/03/2019 23:59:01,19.764°C
18/03/2019 00:19:01,19.701°C
18/03/2019 00:39:01,19.701°C
18/03/2019 00:59:01,19.764°C
18/03/2019 01:19:01,19.764°C
18/03/2019 01:39:01,19.764°C
18/03/2019 01:59:01,19.701°C
18/03/2019 02:19:01,19.639°C
18/03/2019 02:39:01,19.513°C
18/03/2019 02:59:01,19.451°C
18/03/2019 03:19:01,19.451°C
18/03/2019 03:39:01,19.388°C
18/03/2019 03:59:01,19.388°C
18/03/2019 04:19:01,19.388°C
18/03/2019 04:39:01,19.388°C
18/03/2019 04:59:01,19.513°C
18/03/2019 05:19:01,19.639°C
18/03/2019 05:39:01,19.764°C
18/03/2019 05:59:01,19.764°C
18/03/2019 06:19:01,19.701°C
18/03/2019 06:39:01,19.764°C
18/03/2019 06:59:01,19.889°C
18/03/2019 07:19:01,19.952°C
18/03/2019 07:39:01,20.077°C
18/03/2019 07:59:01,20.077°C
18/03/2019 08:19:01,19.889°C
18/03/2019 08:39:01,19.764°C
18/03/2019 08:59:01,19.701°C
18/03/2019 09:19:01,19.639°C
18/03/2019 09:39:01,19.764°C
18/03/2019 09:59:01,19.889°C
18/03/2019 10:19:01,20.014°C
18/03/2019 10:39:01,20.139°C
18/03/2019 10:59:01,20.202°C
18/03/2019 11:19:01,20.265°C
18/03/2019 11:39:01,20.327°C
18/03/2019 11:59:01,20.39°C
18/03/2019 12:19:01,20.39°C
18/03/2019 12:39:01,20.39°C
18/03/2019 12:59:01,20.327°C
18/03/2019 13:19:01,20.202°C
18/03/2019 13:39:01,20.014°C
18/03/2019 13:59:01,19.764°C
18/03/2019 14:19:01,19.639°C
18/03/2019 14:39:01,19.701°C
18/03/2019 14:59:01,19.701°C
18/03/2019 15:19:01,19.701°C
18/03/2019 15:39:01,19.639°C
18/03/2019 15:59:01,19.576°C
18/03/2019 16:19:01,19.576°C
18/03/2019 16:39:01,19.388°C
18/03/2019 16:59:01,19.451°C
18/03/2019 17:19:01,19.639°C
18/03/2019 17:39:01,19.764°C
18/03/2019 17:59:01,19.826°C
18/03/2019 18:19:01,19.889°C
18/03/2019 18:39:01,20.014°C
18/03/2019 18:59:01,19.826°C
18/03/2019 19:19:01,19.826°C
18/03/2019 19:39:01,19.764°C
18/03/2019 19:59:01,19.639°C
18/03/2019 20:19:01,19.639°C
18/03/2019 20:39:01,19.639°C
18/03/2019 20:59:01,19.576°C
18/03/2019 21:19:01,19.764°C
18/03/2019 21:39:01,19.826°C
18/03/2019 21:59:01,19.826°C
18/03/2019 22:19:01,19.826°C
18/03/2019 22:39:01,19.701°C
18/03/2019 22:59:01,19.701°C
18/03/2019 23:19:01,19.826°C
18/03/2019 23:39:01,19.826°C
18/03/2019 23:59:01,19.826°C
19/03/2019 00:19:01,19.952°C
19/03/2019 00:39:01,19.952°C
19/03/2019 00:59:01,20.077°C
19/03/2019 01:19:01,20.014°C
19/03/2019 01:39:01,20.014°C
19/03/2019 01:59:01,19.826°C
19/03/2019 02:19:01,19.764°C
19/03/2019 02:39:01,19.701°C
19/03/2019 02:59:01,19.764°C
19/03/2019 03:19:01,19.889°C
19/03/2019 03:39:01,19.764°C
19/03/2019 03:59:01,19.764°C
19/03/2019 04:19:01,19.826°C
19/03/2019 04:39:01,19.764°C
19/03/2019 04:59:01,19.889°C
19/03/2019 05:19:01,20.014°C
19/03/2019 05:39:01,19.889°C
19/03/2019 05:59:01,19.952°C
19/03/2019 06:19:01,20.077°C
19/03/2019 06:39:01,20.077°C
19/03/2019 06:59:01,20.139°C
19/03/2019 07:19:01,20.139°C
19/03/2019 07:39:01,20.077°C
19/03/2019 07:59:01,20.014°C
19/03/2019 08:19:01,20.014°C
19/03/2019 08:39:01,20.265°C
19/03/2019 08:59:01,20.202°C
19/03/2019 09:19:01,20.202°C
19/03/2019 09:39:01,20.327°C
19/03/2019 09:59:01,20.39°C
19/03/2019 10:19:01,20.39°C
19/03/2019 10:39:01,20.39°C
19/03/2019 10:59:01,20.139°C
19/03/2019 11:19:01,20.202°C
19/03/2019 11:39:01,19.764°C
19/03/2019 11:59:01,19.451°C
19/03/2019 12:19:01,19.889°C
19/03/2019 12:39:01,19.826°C
19/03/2019 12:59:01,19.889°C
19/03/2019 13:19:01,20.139°C
19/03/2019 13:39:01,20.202°C
19/03/2019 13:59:01,20.327°C
19/03/2019 14:19:01,20.453°C
19/03/2019 14:39:01,20.453°C
19/03/2019 14:59:01,20.453°C
19/03/2019 15:19:01,20.453°C
19/03/2019 15:39:01,20.327°C
19/03/2019 15:59:01,20.327°C
19/03/2019 16:19:01,20.265°C
19/03/2019 16:39:01,20.265°C
19/03/2019 16:59:01,20.139°C
19/03/2019 17:19:01,20.265°C
19/03/2019 17:39:01,20.265°C
19/03/2019 17:59:01,20.265°C
19/03/2019 18:19:01,20.265°C
19/03/2019 18:39:01,20.202°C
19/03/2019 18:59:01,20.202°C
19/03/2019 19:19:01,20.265°C
19/03/2019 19:39:01,20.327°C
19/03/2019 19:59:01,20.077°C
19/03/2019 20:19:01,19.513°C
19/03/2019 20:39:01,19.451°C
19/03/2019 20:59:01,19.639°C
19/03/2019 21:19:01,19.701°C
19/03/2019 21:39:01,19.826°C
19/03/2019 21:59:01,19.889°C
19/03/2019 22:19:01,19.889°C
19/03/2019 22:39:01,19.952°C
19/03/2019 22:59:01,20.077°C
19/03/2019 23:19:01,20.014°C
19/03/2019 23:39:01,19.826°C
19/03/2019 23:59:01,19.826°C
20/03/2019 00:19:01,19.764°C
20/03/2019 00:39:01,19.764°C
20/03/2019 00:59:01,19.764°C
20/03/2019 01:19:01,19.639°C
20/03/2019 01:39:01,19.639°C
20/03/2019 01:59:01,19.639°C
20/03/2019 02:19:01,19.826°C
20/03/2019 02:39:01,19.889°C
20/03/2019 02:59:01,19.952°C
20/03/2019 03:19:01,19.826°C
20/03/2019 03:39:01,19.764°C
20/03/2019 03:59:01,19.826°C
20/03/2019 04:19:01,19.764°C
20/03/2019 04:39:01,19.764°C
20/03/2019 04:59:01,19.826°C
20/03/2019 05:19:01,20.014°C
20/03/2019 05:39:01,19.889°C
20/03/2019 05:59:01,19.889°C
20/03/2019 06:19:01,19.952°C
20/03/2019 06:39:01,19.889°C
20/03/2019 06:59:01,19.138°C
20/03/2019 07:19:01,19.451°C
20/03/2019 07:39:01,19.639°C
20/03/2019 07:59:01,19.576°C
20/03/2019 08:19:01,19.639°C
20/03/2019 08:39:01,19.764°C
20/03/2019 08:59:01,19.388°C
20/03/2019 09:19:01,19.451°C
20/03/2019 09:39:01,19.513°C
20/03/2019 09:59:01,19.513°C
20/03/2019 10:19:01,19.826°C
20/03/2019 10:39:01,19.826°C
20/03/2019 10:59:01,19.701°C
20/03/2019 11:19:01,19.764°C
20/03/2019 11:39:01,19.826°C
20/03/2019 11:59:01,19.889°C
20/03/2019 12:19:01,19.826°C
20/03/2019 12:39:01,19.889°C
20/03/2019 12:59:01,19.701°C
20/03/2019 13:19:01,19.639°C
20/03/2019 13:39:01,19.576°C
20/03/2019 13:59:01,19.639°C
20/03/2019 14:19:01,19.639°C
20/03/2019 14:39:01,19.576°C
20/03/2019 14:59:01,19.451°C
20/03/2019 15:19:01,19.388°C
20/03/2019 15:39:01,19.451°C
20/03/2019 15:59:01,18.95°C
20/03/2019 16:19:01,18.762°C
20/03/2019 16:39:01,18.386°C
20/03/2019 16:59:01,18.511°C
20/03/2019 17:19:01,18.198°C
20/03/2019 17:39:01,18.323°C
20/03/2019 17:59:01,18.323°C
20/03/2019 18:19:01,18.323°C
20/03/2019 18:39:01,18.574°C
20/03/2019 18:59:01,18.449°C
20/03/2019 19:19:01,18.511°C
20/03/2019 19:39:01,18.323°C
20/03/2019 19:59:01,18.323°C
20/03/2019 20:19:01,18.699°C
20/03/2019 20:39:01,18.887°C
20/03/2019 20:59:01,19.075°C
20/03/2019 21:19:01,19.138°C
20/03/2019 21:39:01,18.824°C
20/03/2019 21:59:01,18.762°C
20/03/2019 22:19:01,18.762°C
20/03/2019 22:39:01,18.699°C
20/03/2019 22:59:01,19.138°C
20/03/2019 23:19:01,19.263°C
20/03/2019 23:39:01,19.263°C
20/03/2019 23:59:01,19.388°C
21/03/2019 00:19:01,19.451°C
21/03/2019 00:39:01,19.388°C
21/03/2019 00:59:01,19.075°C
21/03/2019 01:19:01,19.388°C
21/03/2019 01:39:01,19.451°C
21/03/2019 01:59:01,19.576°C
21/03/2019 02:19:01,19.639°C
21/03/2019 02:39:01,19.701°C
21/03/2019 02:59:01,19.639°C
21/03/2019 03:19:01,19.451°C
21/03/2019 03:39:01,19.263°C
21/03/2019 03:59:01,19.388°C
21/03/2019 04:19:01,19.263°C
21/03/2019 04:39:01,19.325°C
21/03/2019 04:59:01,19.388°C
21/03/2019 05:19:01,19.576°C
21/03/2019 05:39:01,19.513°C
21/03/2019 05:59:01,19.325°C
21/03/2019 06:19:01,19.138°C
21/03/2019 06:39:01,18.95°C
21/03/2019 06:59:01,18.762°C
21/03/2019 07:19:01,18.699°C
21/03/2019 07:39:01,18.636°C
21/03/2019 07:59:01,18.699°C
21/03/2019 08:19:01,18.636°C
21/03/2019 08:39:01,18.449°C
21/03/2019 08:59:01,18.386°C
21/03/2019 09:19:01,18.574°C
21/03/2019 09:39:01,18.762°C
21/03/2019 09:59:01,18.887°C
21/03/2019 10:19:01,18.824°C
21/03/2019 10:39:01,18.699°C
21/03/2019 10:59:01,18.699°C
21/03/2019 11:19:01,18.574°C
21/03/2019 11:39:01,18.574°C
21/03/2019 11:59:01,18.699°C
21/03/2019 12:19:01,18.824°C
21/03/2019 12:39:01,18.824°C
21/03/2019 12:59:01,18.887°C
21/03/2019 13:19:01,18.824°C
21/03/2019 13:39:01,18.636°C
21/03/2019 13:59:01,18.323°C
21/03/2019 14:19:01,18.198°C
21/03/2019 14:39:01,18.073°C
21/03/2019 14:59:01,18.073°C
21/03/2019 15:19:01,18.135°C
21/03/2019 15:39:01,17.759°C
21/03/2019 15:59:01,17.759°C
21/03/2019 16:19:01,17.885°C
21/03/2019 16:39:01,18.01°C
21/03/2019 16:59:01,18.073°C
21/03/2019 17:19:01,18.073°C
21/03/2019 17:39:01,17.947°C
21/03/2019 17:59:01,17.947°C
21/03/2019 18:19:01,17.947°C
21/03/2019 18:39:01,17.947°C
21/03/2019 18:59:01,18.01°C
21/03/2019 19:19:01,18.073°C
21/03/2019 19:39:01,18.135°C
21/03/2019 19:59:01,18.135°C
21/03/2019 20:19:01,18.135°C
21/03/2019 20:39:01,18.01°C
21/03/2019 20:59:01,18.01°C
21/03/2019 21:19:01,18.073°C
21/03/2019 21:39:01,18.198°C
21/03/2019 21:59:01,18.198°C
21/03/2019 22:19:01,18.198°C
21/03/2019 22:39:01,18.198°C
21/03/2019 22:59:01,18.198°C
21/03/2019 23:19:01,18.261°C
21/03/2019 23:39:01,18.261°C
21/03/2019 23:59:01,18.261°C
22/03/2019 00:19:01,18.386°C
22/03/2019 00:39:01,18.511°C
22/03/2019 00:59:01,18.574°C
22/03/2019 01:19:01,18.636°C
22/03/2019 01:39:01,18.699°C
22/03/2019 01:59:01,18.699°C
22/03/2019 02:19:01,18.762°C
22/03/2019 02:39:01,18.95°C
22/03/2019 02:59:01,19.075°C
22/03/2019 03:19:01,19.138°C
22/03/2019 03:39:01,19.075°C
22/03/2019 03:59:01,19.075°C
22/03/2019 04:19:01,19.2°C
22/03/2019 04:39:01,19.2°C
22/03/2019 04:59:01,19.325°C
22/03/2019 05:19:01,19.325°C
22/03/2019 05:39:01,19.451°C
22/03/2019 05:59:01,19.701°C
22/03/2019 06:19:01,19.639°C
22/03/2019 06:39:01,19.513°C
22/03/2019 06:59:01,19.388°C
22/03/2019 07:19:01,19.451°C
22/03/2019 07:39:01,19.388°C
22/03/2019 07:59:01,19.263°C
22/03/2019 08:19:01,19.263°C
22/03/2019 08:39:01,19.263°C
22/03/2019 08:59:01,18.824°C
22/03/2019 09:19:01,18.511°C
22/03/2019 09:39:01,18.449°C
22/03/2019 09:59:01,18.511°C
22/03/2019 10:19:01,18.636°C
22/03/2019 10:39:01,18.887°C
22/03/2019 10:59:01,19.263°C
22/03/2019 11:19:01,19.576°C
22/03/2019 11:39:01,19.764°C
22/03/2019 11:59:01,19.826°C
22/03/2019 12:19:01,19.826°C
22/03/2019 12:39:01,19.952°C
22/03/2019 12:59:01,19.889°C
22/03/2019 13:19:01,19.764°C
22/03/2019 13:39:01,19.639°C
22/03/2019 13:59:01,19.701°C
22/03/2019 14:19:01,19.451°C
22/03/2019 14:39:01,19.2°C
22/03/2019 14:59:01,19.138°C
22/03/2019 15:19:01,19.075°C
22/03/2019 15:39:01,19.263°C
22/03/2019 15:59:01,19.325°C
22/03/2019 16:19:01,19.451°C
22/03/2019 16:39:01,19.388°C
22/03/2019 16:59:01,19.325°C
22/03/2019 17:19:01,18.95°C
22/03/2019 17:39:01,18.824°C
22/03/2019 17:59:01,18.887°C
22/03/2019 18:19:01,19.012°C
22/03/2019 18:39:01,18.95°C
22/03/2019 18:59:01,19.075°C
22/03/2019 19:19:01,19.263°C
22/03/2019 19:39:01,19.451°C
22/03/2019 19:59:01,19.639°C
22/03/2019 20:19:01,19.701°C
22/03/2019 20:39:01,19.639°C
22/03/2019 20:59:01,19.576°C
22/03/2019 21:19:01,19.639°C
22/03/2019 21:39:01,19.639°C
22/03/2019 21:59:01,19.576°C
22/03/2019 22:19:01,19.576°C
22/03/2019 22:39:01,19.639°C
22/03/2019 22:59:01,19.513°C
22/03/2019 23:19:01,19.576°C
22/03/2019 23:39:01,19.513°C
22/03/2019 23:59:01,19.451°C
23/03/2019 00:19:01,19.325°C
23/03/2019 00:39:01,19.2°C
23/03/2019 00:59:01,19.513°C
23/03/2019 01:19:01,19.826°C
23/03/2019 01:39:01,19.701°C
23/03/2019 01:59:01,19.889°C
23/03/2019 02:19:01,19.889°C
23/03/2019 02:39:01,19.952°C
23/03/2019 02:59:01,19.952°C
23/03/2019 03:19:01,19.576°C
23/03/2019 03:39:01,19.388°C
23/03/2019 03:59:01,19.639°C
23/03/2019 04:19:01,19.889°C
23/03/2019 04:39:01,19.952°C
23/03/2019 04:59:01,19.952°C
23/03/2019 05:19:01,20.014°C
23/03/2019 05:39:01,20.014°C
23/03/2019 05:59:01,20.077°C
23/03/2019 06:19:01,20.077°C
23/03/2019 06:39:01,20.077°C
23/03/2019 06:59:01,20.139°C
23/03/2019 07:19:01,20.077°C
23/03/2019 07:39:01,20.139°C
23/03/2019 07:59:01,20.265°C
23/03/2019 08:19:01,20.202°C
23/03/2019 08:39:01,20.139°C
23/03/2019 08:59:01,20.265°C
23/03/2019 09:19:01,20.327°C
23/03/2019 09:39:01,20.39°C
23/03/2019 09:59:01,20.453°C
23/03/2019 10:19:01,20.515°C
23/03/2019 10:39:01,20.515°C
23/03/2019 10:59:01,20.703°C
23/03/2019 11:19:01,20.766°C
23/03/2019 11:39:01,20.766°C
23/03/2019 11:59:01,20.828°C
23/03/2019 12:19:01,20.828°C
23/03/2019 12:39:01,21.016°C
23/03/2019 12:59:01,20.891°C
23/03/2019 13:19:01,20.891°C
23/03/2019 13:39:01,20.766°C
23/03/2019 13:59:01,20.953°C
23/03/2019 14:19:01,21.079°C
23/03/2019 14:39:01,21.016°C
23/03/2019 14:59:01,20.828°C
23/03/2019 15:19:01,20.703°C
23/03/2019 15:39:01,20.766°C
23/03/2019 15:59:01,20.64°C
23/03/2019 16:19:01,20.578°C
23/03/2019 16:39:01,20.578°C
23/03/2019 16:59:01,20.578°C
23/03/2019 17:19:01,20.515°C
23/03/2019 17:39:01,20.578°C
23/03/2019 17:59:01,20.515°C
23/03/2019 18:19:01,20.515°C
23/03/2019 18:39:01,20.515°C
23/03/2019 18:59:01,20.578°C
23/03/2019 19:19:01,20.453°C
23/03/2019 19:39:01,19.952°C
23/03/2019 19:59:01,19.826°C
23/03/2019 20:19:01,20.139°C
23/03/2019 20:39:01,20.139°C
23/03/2019 20:59:01,20.202°C
23/03/2019 21:19:01,20.077°C
23/03/2019 21:39:01,20.077°C
23/03/2019 21:59:01,20.202°C
23/03/2019 22:19:01,20.265°C
23/03/2019 22:39:01,20.077°C
23/03/2019 22:59:01,20.077°C
23/03/2019 23:19:01,20.327°C
23/03/2019 23:39:01,20.39°C
23/03/2019 23:59:01,20.202°C
24/03/2019 00:19:01,20.202°C
24/03/2019 00:39:01,20.265°C
24/03/2019 00:59:01,20.202°C
24/03/2019 01:19:01,20.139°C
24/03/2019 01:39:01,20.139°C
24/03/2019 01:59:01,20.202°C
24/03/2019 02:19:01,20.265°C
24/03/2019 02:39:01,20.202°C
24/03/2019 02:59:01,20.077°C
24/03/2019 03:19:01,20.202°C
24/03/2019 03:39:01,20.139°C
24/03/2019 03:59:01,20.139°C
24/03/2019 04:19:01,20.202°C
24/03/2019 04:39:01,20.139°C
24/03/2019 04:59:01,20.139°C
24/03/2019 05:19:01,20.139°C
24/03/2019 05:39:01,20.139°C
24/03/2019 05:59:01,20.139°C
24/03/2019 06:19:01,20.202°C
24/03/2019 06:39:01,20.265°C
24/03/2019 06:59:01,20.077°C
24/03/2019 07:19:01,20.139°C
24/03/2019 07:39:01,20.202°C
24/03/2019 07:59:01,20.139°C
24/03/2019 08:19:01,20.202°C
24/03/2019 08:39:01,20.327°C
24/03/2019 08:59:01,20.453°C
24/03/2019 09:19:01,20.453°C
24/03/2019 09:39:01,20.39°C
24/03/2019 09:59:01,20.578°C
24/03/2019 10:19:01,20.64°C
24/03/2019 10:39:01,20.766°C
24/03/2019 10:59:01,20.766°C
24/03/2019 11:19:01,21.204°C
24/03/2019 11:39:01,21.016°C
24/03/2019 11:59:01,20.703°C
24/03/2019 12:19:01,21.204°C
24/03/2019 12:39:01,21.767°C
24/03/2019 12:59:01,21.955°C
24/03/2019 13:19:01,21.704°C
24/03/2019 13:39:01,21.642°C
24/03/2019 13:59:01,21.266°C
24/03/2019 14:19:01,21.391°C
24/03/2019 14:39:01,21.204°C
24/03/2019 14:59:01,21.141°C
24/03/2019 15:19:01,21.016°C
24/03/2019 15:39:01,21.016°C
24/03/2019 15:59:01,20.828°C
24/03/2019 16:19:01,20.828°C
24/03/2019 16:39:01,20.766°C
24/03/2019 16:59:01,20.578°C
24/03/2019 17:19:01,20.39°C
24/03/2019 17:39:01,20.39°C
24/03/2019 17:59:01,20.39°C
24/03/2019 18:19:01,20.327°C
24/03/2019 18:39:01,20.327°C
24/03/2019 18:59:01,20.265°C
24/03/2019 19:19:01,20.327°C
24/03/2019 19:39:01,20.265°C
24/03/2019 19:59:01,20.202°C
